name,cntry,Gndr,W4q50,C2weight,Eduyrs,Netusoft
CRON2W4e01,AT,Masculino,Todo el tiempo,1.2958472,13,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.1918924,20,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.2206076,14,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.2535642,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.84917593,14,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,0.34003344,18,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.1593555,8,A few times a week
CRON2W4e01,AT,Femenino,Rara vez,0.6658726,12,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.27418616,14,A few times a month
CRON2W4e01,AT,Femenino,Nunca,2.7124264,15,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,0.48972479,14,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.5159769,14,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.21023253,13,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.34300297,15,A few times a month
CRON2W4e01,AT,Masculino,Algunas veces,0.39462236,17,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.5467485,12,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.4683049,12,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.4471642,14,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.31003794,13,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.36981195,20,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.62958264,18,Less often
CRON2W4e01,AT,Femenino,Algunas veces,1.0356619,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.29266334,13,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.18606263,12,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,2.51539,11,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.8449696,13,A few times a month
CRON2W4e01,AT,Femenino,Algunas veces,0.20273353,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.6775404,19,Less often
